[Simulate] Step 202: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 203: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 204: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 205: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 206: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 207: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 208: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 209: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 210: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 211: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 212: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 213: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 214: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 215: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 216: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 217: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 218: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 219: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 220: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 221: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 222: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 223: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 224: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 225: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 226: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 227: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 228: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 229: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 230: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 231: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 232: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 233: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 234: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 235: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 236: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 237: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 238: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 239: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 240: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Step 240] Agent 0 Action: 0, Reward: 0.0000
[Step 240] Adaptive green duration: 40
[Simulate] Step 241: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 242: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 243: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 244: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 245: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 246: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 247: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 248: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 249: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 250: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 251: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 252: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 253: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 254: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 255: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 256: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 257: Queue length 0, Waiting time 0.0, Emergency Delay: 0.0
[Simulate] Step 258: Queue length 1, Waiting time 1.0, Emergency Delay: 0.0
[Simulate] Step 259: Queue length 1, Waiting time 2.0, Emergency Delay: 0.0
[Simulate] Step 260: Queue length 1, Waiting time 3.0, Emergency Delay: 0.0
[Simulate] Step 261: Queue length 1, Waiting time 4.0, Emergency Delay: 0.0
[Simulate] Step 262: Queue length 1, Waiting time 5.0, Emergency Delay: 0.0
[Simulate] Step 263: Queue length 1, Waiting time 6.0, Emergency Delay: 0.0
[Simulate] Step 264: Queue length 1, Waiting time 7.0, Emergency Delay: 0.0
[Simulate] Step 265: Queue length 1, Waiting time 8.0, Emergency Delay: 0.0
[Simulate] Step 266: Queue length 1, Waiting time 9.0, Emergency Delay: 0.0
[Simulate] Step 267: Queue length 1, Waiting time 10.0, Emergency Delay: 0.0
[Simulate] Step 268: Queue length 1, Waiting time 11.0, Emergency Delay: 0.0
[Simulate] Step 269: Queue length 1, Waiting time 12.0, Emergency Delay: 0.0
[Simulate] Step 270: Queue length 1, Waiting time 13.0, Emergency Delay: 0.0
[Simulate] Step 271: Queue length 1, Waiting time 14.0, Emergency Delay: 0.0
[Simulate] Step 272: Queue length 1, Waiting time 15.0, Emergency Delay: 0.0
[Simulate] Step 273: Queue length 1, Waiting time 16.0, Emergency Delay: 0.0
[Simulate] Step 274: Queue length 1, Waiting time 17.0, Emergency Delay: 0.0
[Simulate] Step 275: Queue length 1, Waiting time 18.0, Emergency Delay: 0.0
[Simulate] Step 276: Queue length 1, Waiting time 19.0, Emergency Delay: 0.0
[Simulate] Step 277: Queue length 1, Waiting time 20.0, Emergency Delay: 0.0
[Simulate] Step 278: Queue length 1, Waiting time 21.0, Emergency Delay: 0.0
[Simulate] Step 279: Queue length 1, Waiting time 22.0, Emergency Delay: 0.0
[Simulate] Step 280: Queue length 1, Waiting time 23.0, Emergency Delay: 0.0
[Step 280] Agent 0 Action: 0, Reward: 0.0000
[Step 280] Adaptive green duration: 40
[Simulate] Step 281: Queue length 1, Waiting time 24.0, Emergency Delay: 0.0
[Simulate] Step 282: Queue length 1, Waiting time 25.0, Emergency Delay: 0.0
[Simulate] Step 283: Queue length 1, Waiting time 26.0, Emergency Delay: 0.0
[Simulate] Step 284: Queue length 1, Waiting time 27.0, Emergency Delay: 0.0
[Simulate] Step 285: Queue length 1, Waiting time 28.0, Emergency Delay: 0.0
[Simulate] Step 286: Queue length 1, Waiting time 29.0, Emergency Delay: 0.0
[Simulate] Step 287: Queue length 1, Waiting time 30.0, Emergency Delay: 0.0
[Simulate] Step 288: Queue length 1, Waiting time 31.0, Emergency Delay: 0.0
[Simulate] Step 289: Queue length 1, Waiting time 32.0, Emergency Delay: 0.0
[Simulate] Step 290: Queue length 1, Waiting time 33.0, Emergency Delay: 0.0
[Simulate] Step 291: Queue length 1, Waiting time 34.0, Emergency Delay: 0.0
[Simulate] Step 292: Queue length 1, Waiting time 35.0, Emergency Delay: 0.0
[Simulate] Step 293: Queue length 1, Waiting time 36.0, Emergency Delay: 0.0
[Simulate] Step 294: Queue length 1, Waiting time 37.0, Emergency Delay: 0.0
[Simulate] Step 295: Queue length 1, Waiting time 38.0, Emergency Delay: 0.0
[Simulate] Step 296: Queue length 1, Waiting time 39.0, Emergency Delay: 0.0
[Simulate] Step 297: Queue length 1, Waiting time 40.0, Emergency Delay: 0.0
[Simulate] Step 298: Queue length 1, Waiting time 41.0, Emergency Delay: 0.0
[Simulate] Step 299: Queue length 1, Waiting time 42.0, Emergency Delay: 0.0
[Simulate] Step 300: Queue length 1, Waiting time 43.0, Emergency Delay: 0.0
[Simulate] Step 301: Queue length 1, Waiting time 44.0, Emergency Delay: 0.0
[Simulate] Step 302: Queue length 1, Waiting time 45.0, Emergency Delay: 0.0
[Simulate] Step 303: Queue length 2, Waiting time 47.0, Emergency Delay: 0.0
[Simulate] Step 304: Queue length 3, Waiting time 50.0, Emergency Delay: 0.0
[Simulate] Step 305: Queue length 3, Waiting time 53.0, Emergency Delay: 0.0
[Simulate] Step 306: Queue length 3, Waiting time 56.0, Emergency Delay: 0.0
[Simulate] Step 307: Queue length 3, Waiting time 59.0, Emergency Delay: 0.0
[Simulate] Step 308: Queue length 4, Waiting time 63.0, Emergency Delay: 0.0
[Simulate] Step 309: Queue length 4, Waiting time 67.0, Emergency Delay: 0.0
[Simulate] Step 310: Queue length 4, Waiting time 71.0, Emergency Delay: 0.0
[Simulate] Step 311: Queue length 4, Waiting time 75.0, Emergency Delay: 0.0
[Simulate] Step 312: Queue length 4, Waiting time 79.0, Emergency Delay: 0.0
[Simulate] Step 313: Queue length 5, Waiting time 84.0, Emergency Delay: 0.0
[Simulate] Step 314: Queue length 5, Waiting time 89.0, Emergency Delay: 0.0
[Simulate] Step 315: Queue length 5, Waiting time 94.0, Emergency Delay: 0.0
[Simulate] Step 316: Queue length 5, Waiting time 99.0, Emergency Delay: 0.0
[Simulate] Step 317: Queue length 5, Waiting time 104.0, Emergency Delay: 0.0
[Simulate] Step 318: Queue length 5, Waiting time 109.0, Emergency Delay: 0.0
[Simulate] Step 319: Queue length 5, Waiting time 114.0, Emergency Delay: 0.0
[Simulate] Step 320: Queue length 5, Waiting time 119.0, Emergency Delay: 0.0
[Step 320] Agent 0 Action: 0, Reward: -0.0220
[Step 320] Adaptive green duration: 42
[Simulate] Step 321: Queue length 5, Waiting time 124.0, Emergency Delay: 0.0
[Simulate] Step 322: Queue length 5, Waiting time 129.0, Emergency Delay: 0.0
