[Step 0] Agent 0 Action: 2, Reward: 0.0000
[Step 0] Agent 1 Action: 3, Reward: 0.0000
[Step 0] Agent 2 Action: 0, Reward: 0.0000
[Step 0] Agent 3 Action: 0, Reward: 0.0000
[Step 0] Adaptive green duration: 40
[InjectFault] TL 1: Fault injected. Phase 4 changed from rrrGGrrrrGGr to rrrGGrrrrGrr. Flipped indices: [10]
[Simulate] Step 229: Queue length 27, Waiting time 2159.0, Emergency Delay: 0.0
[Simulate] Step 230: Queue length 28, Waiting time 2220.0, Emergency Delay: 0.0
[Simulate] Step 231: Queue length 29, Waiting time 2219.0, Emergency Delay: 0.0
[Simulate] Step 232: Queue length 30, Waiting time 2239.0, Emergency Delay: 0.0
[Simulate] Step 233: Queue length 32, Waiting time 2271.0, Emergency Delay: 0.0
[Simulate] Step 234: Queue length 32, Waiting time 2303.0, Emergency Delay: 0.0
[Simulate] Step 235: Queue length 34, Waiting time 2337.0, Emergency Delay: 0.0
[Simulate] Step 236: Queue length 36, Waiting time 2383.0, Emergency Delay: 0.0
[Simulate] Step 237: Queue length 36, Waiting time 2419.0, Emergency Delay: 0.0
[Simulate] Step 238: Queue length 36, Waiting time 2428.0, Emergency Delay: 0.0
[Simulate] Step 239: Queue length 36, Waiting time 2464.0, Emergency Delay: 0.0
[Simulate] Step 240: Queue length 38, Waiting time 2495.0, Emergency Delay: 0.0
[Simulate] Step 241: Queue length 39, Waiting time 2534.0, Emergency Delay: 0.0
[Simulate] Step 242: Queue length 42, Waiting time 2576.0, Emergency Delay: 0.0
[Simulate] Step 243: Queue length 43, Waiting time 2619.0, Emergency Delay: 0.0
[Simulate] Step 244: Queue length 44, Waiting time 2663.0, Emergency Delay: 0.0
[Simulate] Step 245: Queue length 45, Waiting time 2708.0, Emergency Delay: 0.0
[Simulate] Step 246: Queue length 45, Waiting time 2753.0, Emergency Delay: 0.0
[Simulate] Step 247: Queue length 45, Waiting time 2798.0, Emergency Delay: 0.0
[Simulate] Step 248: Queue length 45, Waiting time 2843.0, Emergency Delay: 0.0
[Simulate] Step 249: Queue length 45, Waiting time 2888.0, Emergency Delay: 0.0
[Simulate] Step 250: Queue length 45, Waiting time 2933.0, Emergency Delay: 0.0
[Simulate] Step 251: Queue length 46, Waiting time 2979.0, Emergency Delay: 0.0
[Simulate] Step 252: Queue length 46, Waiting time 3025.0, Emergency Delay: 0.0
[Simulate] Step 253: Queue length 47, Waiting time 3072.0, Emergency Delay: 0.0
[Simulate] Step 254: Queue length 48, Waiting time 3120.0, Emergency Delay: 0.0
[Simulate] Step 255: Queue length 48, Waiting time 3168.0, Emergency Delay: 0.0
[Step 255] Agent 0 Action: 0, Reward: -0.3917
[Step 255] Agent 1 Action: 0, Reward: 0.4323
[Step 255] Agent 2 Action: 3, Reward: -0.1197
[Step 255] Agent 3 Action: 3, Reward: -0.0990
[SetYellow] TL 1: Set yellow phase 3 out of 8 phases.
[Simulate] Step 256: Queue length 48, Waiting time 3216.0, Emergency Delay: 0.0
[Simulate] Step 257: Queue length 49, Waiting time 3265.0, Emergency Delay: 0.0
[Simulate] Step 258: Queue length 49, Waiting time 3314.0, Emergency Delay: 0.0
[Simulate] Step 259: Queue length 49, Waiting time 3317.0, Emergency Delay: 0.0
[SetYellow] TL 2: Set yellow phase 7 out of 8 phases.
[Simulate] Step 260: Queue length 48, Waiting time 3365.0, Emergency Delay: 0.0
[Simulate] Step 261: Queue length 48, Waiting time 3413.0, Emergency Delay: 0.0
[Simulate] Step 262: Queue length 47, Waiting time 3468.0, Emergency Delay: 0.0
[Simulate] Step 263: Queue length 46, Waiting time 3514.0, Emergency Delay: 0.0
[SetYellow] TL 5: Set yellow phase 1 out of 8 phases.
[Simulate] Step 264: Queue length 45, Waiting time 3597.0, Emergency Delay: 0.0
[Simulate] Step 265: Queue length 45, Waiting time 3642.0, Emergency Delay: 0.0
[Simulate] Step 266: Queue length 44, Waiting time 3686.0, Emergency Delay: 0.0
[Simulate] Step 267: Queue length 45, Waiting time 3731.0, Emergency Delay: 0.0
[Step 267] Adaptive green duration: 50
[Simulate] Step 268: Queue length 45, Waiting time 3656.0, Emergency Delay: 0.0
[Simulate] Step 269: Queue length 44, Waiting time 3700.0, Emergency Delay: 0.0
[Simulate] Step 270: Queue length 44, Waiting time 3744.0, Emergency Delay: 0.0
[Simulate] Step 271: Queue length 44, Waiting time 3793.0, Emergency Delay: 0.0
[Simulate] Step 272: Queue length 45, Waiting time 3838.0, Emergency Delay: 0.0
[Simulate] Step 273: Queue length 44, Waiting time 3997.0, Emergency Delay: 0.0
[Simulate] Step 274: Queue length 46, Waiting time 3960.0, Emergency Delay: 0.0
[Simulate] Step 275: Queue length 47, Waiting time 4090.0, Emergency Delay: 0.0
[Simulate] Step 276: Queue length 46, Waiting time 4059.0, Emergency Delay: 0.0
[Simulate] Step 277: Queue length 44, Waiting time 4091.0, Emergency Delay: 0.0
[Simulate] Step 278: Queue length 43, Waiting time 4139.0, Emergency Delay: 0.0
[Simulate] Step 279: Queue length 41, Waiting time 4252.0, Emergency Delay: 0.0
[Simulate] Step 280: Queue length 41, Waiting time 4217.0, Emergency Delay: 0.0
[Simulate] Step 281: Queue length 40, Waiting time 4322.0, Emergency Delay: 0.0
[Simulate] Step 282: Queue length 43, Waiting time 4186.0, Emergency Delay: 0.0
[Simulate] Step 283: Queue length 43, Waiting time 4279.0, Emergency Delay: 0.0
