Timestamp: 2025-04-14 00:24:07
Intersection: roundabout
Total reward: -8330.00
Epsilon: 0.92
Simulation duration: 31.5s
Avg queue length: 2.34
Cumulative wait time: 12625.00
Fault injected: ❌ No
Total Emergency Delay: 5028.00

Action Distribution:
Action 0: 287 times
Action 1: 278 times
Action 2: 274 times
Action 3: 282 times

Q-Value Log Per Step:
Step 2454 | Action: 1 (exploration)
Step 2468 | Action: 2 (exploration)
Step 2483 | Action: 3 (exploration)
Step 2503 | Action: 1 (exploration)
Step 2517 | Action: 2 (exploration)
Step 2531 | Action: 2 (exploration)
Step 2543 | Action: 2 (exploration)
Step 2557 | Action: 3 (exploration)
Step 2580 | Action: 2 (exploration)
Step 2596 | Action: 2 (exploration)
Step 2606 | Action: 2 (exploration)
Step 2616 | Action: 1 (exploration)
Step 2630 | Action: 1 (exploration)
Step 2642 | Action: 0 (exploration)
Step 2665 | Action: 3 | Raw Q: [4.55152702331543, 10.287520408630371, 8.30232048034668, 15.445472717285156] | Boosted Q: [4.55152702331543, 10.287520408630371, 8.30232048034668, 15.445472717285156]
Step 2679 | Action: 2 (exploration)
Step 2693 | Action: 2 (exploration)
Step 2703 | Action: 0 (exploration)
Step 2717 | Action: 2 (exploration)
Step 2731 | Action: 3 (exploration)
Step 2745 | Action: 0 (exploration)
Step 2759 | Action: 3 (exploration)
Step 2773 | Action: 1 (exploration)
Step 2788 | Action: 2 (exploration)
Step 2802 | Action: 0 (exploration)
Step 2817 | Action: 1 (exploration)
Step 2831 | Action: 0 (exploration)
Step 2846 | Action: 1 (exploration)
Step 2860 | Action: 0 (exploration)
Step 2874 | Action: 1 (exploration)
Step 2888 | Action: 0 (exploration)
Step 2902 | Action: 1 (exploration)
Step 2916 | Action: 2 (exploration)
Step 2930 | Action: 1 (exploration)
Step 2947 | Action: 2 (exploration)
Step 2964 | Action: 3 (exploration)
Step 2987 | Action: 2 (exploration)
Step 3002 | Action: 0 (exploration)
Step 3016 | Action: 1 (exploration)
Step 3030 | Action: 0 (exploration)
Step 3044 | Action: 2 (exploration)
Step 3058 | Action: 2 (exploration)
Step 3069 | Action: 1 (exploration)
Step 3086 | Action: 0 (exploration)
Step 3102 | Action: 0 (exploration)
Step 3112 | Action: 1 (exploration)
Step 3126 | Action: 0 (exploration)
Step 3140 | Action: 0 (exploration)
Step 3150 | Action: 0 (exploration)
Step 3160 | Action: 3 (exploration)
Step 3174 | Action: 1 (exploration)
Step 3188 | Action: 2 (exploration)
Step 3202 | Action: 3 (exploration)
Step 3217 | Action: 1 (exploration)
Step 3231 | Action: 0 | Raw Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672] | Boosted Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672]
Step 3245 | Action: 0 (exploration)
Step 3255 | Action: 2 (exploration)
Step 3269 | Action: 3 (exploration)
Step 3283 | Action: 3 | Raw Q: [4.55152702331543, 10.287520408630371, 8.30232048034668, 15.445472717285156] | Boosted Q: [4.55152702331543, 10.287520408630371, 8.30232048034668, 15.445472717285156]
Step 3293 | Action: 3 (exploration)
Step 3303 | Action: 0 (exploration)
Step 3317 | Action: 3 (exploration)
Step 3331 | Action: 3 (exploration)
Step 3341 | Action: 3 (exploration)
Step 3351 | Action: 3 (exploration)
Step 3361 | Action: 3 (exploration)
Step 3372 | Action: 1 (exploration)
Step 3388 | Action: 1 (exploration)
Step 3398 | Action: 3 (exploration)
Step 3412 | Action: 2 (exploration)
Step 3426 | Action: 0 (exploration)
Step 3440 | Action: 3 (exploration)
Step 3454 | Action: 1 (exploration)
Step 3468 | Action: 0 | Raw Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672] | Boosted Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672]
Step 3482 | Action: 1 (exploration)
Step 3496 | Action: 0 | Raw Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672] | Boosted Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672]
Step 3510 | Action: 3 (exploration)
Step 3524 | Action: 2 (exploration)
Step 3538 | Action: 3 (exploration)
Step 3552 | Action: 0 (exploration)
Step 3566 | Action: 1 (exploration)
Step 3580 | Action: 3 (exploration)
Step 3594 | Action: 1 (exploration)
Step 3608 | Action: 0 | Raw Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672] | Boosted Q: [14.586872100830078, 4.418886661529541, 12.740031242370605, 8.633525848388672]
Step 3622 | Action: 3 (exploration)
Step 3636 | Action: 2 (exploration)
Step 3651 | Action: 2 (exploration)
Step 3661 | Action: 1 (exploration)
Step 3675 | Action: 2 (exploration)
Step 3689 | Action: 2 (exploration)
Step 3700 | Action: 0 | Raw Q: [44.98573303222656, 21.11277198791504, 38.319881439208984, 38.143898010253906] | Boosted Q: [45.085731506347656, 21.11277198791504, 38.319881439208984, 38.143898010253906]
Step 3716 | Action: 3 (exploration)
Step 3730 | Action: 2 (exploration)
Step 3744 | Action: 2 (exploration)
Step 3754 | Action: 1 (exploration)
Step 3768 | Action: 2 (exploration)
Step 3782 | Action: 1 (exploration)
Step 3796 | Action: 0 (exploration)
Step 3810 | Action: 3 (exploration)
Step 3824 | Action: 0 (exploration)
Step 3838 | Action: 1 (exploration)
Step 3852 | Action: 2 (exploration)
Step 3867 | Action: 3 (exploration)
Step 3883 | Action: 1 (exploration)
Step 3897 | Action: 1 (exploration)
Step 3907 | Action: 3 (exploration)
Step 3921 | Action: 2 (exploration)
Step 3935 | Action: 3 (exploration)
