Timestamp: 2025-04-14 11:06:15
Intersection: cross
Total reward: -7478.00
Epsilon: 0.98
Simulation duration: 79.9s
Avg queue length: 1.81
Cumulative wait time: 9779.00
Fault injected: ❌ No
Total Emergency Delay: 15286.00

Action Distribution:
Action 0: 186 times
Action 1: 190 times
Action 2: 174 times
Action 3: 190 times

Q-Value Log Per Step:
Step 2103 | Action: 2 (exploration)
Step 2117 | Action: 3 (exploration)
Step 2131 | Action: 0 (exploration)
Step 2146 | Action: 2 (exploration)
Step 2161 | Action: 3 (exploration)
Step 2177 | Action: 1 (exploration)
Step 2194 | Action: 3 (exploration)
Step 2209 | Action: 3 (exploration)
Step 2220 | Action: 3 (exploration)
Step 2232 | Action: 1 (exploration)
Step 2248 | Action: 0 (exploration)
Step 2265 | Action: 0 (exploration)
Step 2275 | Action: 3 (exploration)
Step 2289 | Action: 1 (exploration)
Step 2305 | Action: 1 (exploration)
Step 2318 | Action: 1 (exploration)
Step 2334 | Action: 2 (exploration)
Step 2356 | Action: 3 (exploration)
Step 2371 | Action: 2 (exploration)
Step 2388 | Action: 2 (exploration)
Step 2401 | Action: 2 (exploration)
Step 2415 | Action: 2 (exploration)
Step 2431 | Action: 2 (exploration)
Step 2449 | Action: 0 (exploration)
Step 2473 | Action: 0 (exploration)
Step 2483 | Action: 1 (exploration)
Step 2497 | Action: 3 (exploration)
Step 2511 | Action: 3 (exploration)
Step 2522 | Action: 0 (exploration)
Step 2538 | Action: 1 (exploration)
Step 2554 | Action: 0 (exploration)
Step 2571 | Action: 3 (exploration)
Step 2589 | Action: 1 (exploration)
Step 2608 | Action: 1 (exploration)
Step 2624 | Action: 2 (exploration)
Step 2646 | Action: 3 (exploration)
Step 2660 | Action: 0 (exploration)
Step 2675 | Action: 2 (exploration)
Step 2689 | Action: 3 (exploration)
Step 2703 | Action: 0 (exploration)
Step 2717 | Action: 3 (exploration)
Step 2731 | Action: 3 (exploration)
Step 2741 | Action: 0 (exploration)
Step 2755 | Action: 0 (exploration)
Step 2765 | Action: 1 (exploration)
Step 2779 | Action: 2 (exploration)
Step 2794 | Action: 3 (exploration)
Step 2808 | Action: 3 (exploration)
Step 2818 | Action: 1 (exploration)
Step 2832 | Action: 0 (exploration)
Step 2856 | Action: 3 (exploration)
Step 2873 | Action: 0 (exploration)
Step 2890 | Action: 3 (exploration)
Step 2907 | Action: 3 (exploration)
Step 2920 | Action: 2 (exploration)
Step 2937 | Action: 3 (exploration)
Step 2951 | Action: 3 (exploration)
Step 2961 | Action: 1 (exploration)
Step 2975 | Action: 0 (exploration)
Step 2989 | Action: 2 (exploration)
Step 3004 | Action: 3 (exploration)
Step 3018 | Action: 3 (exploration)
Step 3028 | Action: 3 (exploration)
Step 3038 | Action: 2 (exploration)
Step 3052 | Action: 0 (exploration)
Step 3066 | Action: 1 | Raw Q: [-0.006821084301918745, 0.01200878620147705, -0.07998544722795486, -0.004776726011186838] | Boosted Q: [-0.006821084301918745, 0.01200878620147705, -0.07998544722795486, -0.004776726011186838]
Step 3080 | Action: 3 (exploration)
Step 3094 | Action: 0 (exploration)
Step 3108 | Action: 0 (exploration)
Step 3118 | Action: 1 (exploration)
Step 3132 | Action: 0 (exploration)
Step 3147 | Action: 3 (exploration)
Step 3163 | Action: 1 (exploration)
Step 3181 | Action: 0 (exploration)
Step 3200 | Action: 1 (exploration)
Step 3221 | Action: 0 (exploration)
Step 3245 | Action: 1 (exploration)
Step 3269 | Action: 3 (exploration)
Step 3293 | Action: 1 (exploration)
Step 3317 | Action: 1 (exploration)
Step 3337 | Action: 1 (exploration)
Step 3357 | Action: 2 (exploration)
Step 3381 | Action: 1 (exploration)
Step 3396 | Action: 1 (exploration)
Step 3408 | Action: 3 (exploration)
Step 3424 | Action: 0 (exploration)
Step 3441 | Action: 1 (exploration)
Step 3455 | Action: 0 (exploration)
Step 3469 | Action: 0 (exploration)
Step 3479 | Action: 3 (exploration)
Step 3493 | Action: 1 (exploration)
Step 3507 | Action: 1 (exploration)
Step 3517 | Action: 2 (exploration)
Step 3531 | Action: 0 (exploration)
Step 3545 | Action: 0 (exploration)
Step 3555 | Action: 3 (exploration)
Step 3569 | Action: 2 (exploration)
Step 3583 | Action: 2 (exploration)
Step 3593 | Action: 0 (exploration)
Step 3608 | Action: 3 (exploration)
Step 3622 | Action: 0 (exploration)
Step 3636 | Action: 3 (exploration)
Step 3650 | Action: 2 (exploration)
Step 3664 | Action: 1 (exploration)
Step 3678 | Action: 1 (exploration)
Step 3688 | Action: 0 (exploration)
Step 3702 | Action: 3 (exploration)
Step 3716 | Action: 3 (exploration)
Step 3726 | Action: 1 (exploration)
Step 3740 | Action: 1 (exploration)
Step 3750 | Action: 3 (exploration)
Step 3764 | Action: 2 (exploration)
Step 3778 | Action: 0 (exploration)
Step 3792 | Action: 0 (exploration)
Step 3802 | Action: 0 (exploration)
Step 3812 | Action: 0 (exploration)
Step 3822 | Action: 2 (exploration)
Step 3836 | Action: 3 (exploration)
Step 3850 | Action: 0 (exploration)
Step 3864 | Action: 1 (exploration)
Step 3878 | Action: 1 (exploration)
Step 3888 | Action: 0 (exploration)
Step 3902 | Action: 1 (exploration)
Step 3917 | Action: 2 (exploration)
Step 3932 | Action: 2 (exploration)
Step 3942 | Action: 3 (exploration)
Step 3956 | Action: 0 (exploration)
Step 3970 | Action: 2 (exploration)
Step 3984 | Action: 0 (exploration)
Step 3998 | Action: 3 (exploration)
Step 4012 | Action: 0 (exploration)
Step 4026 | Action: 1 (exploration)
Step 4040 | Action: 3 (exploration)
Step 4054 | Action: 1 (exploration)
