Timestamp: 2025-04-14 11:08:41
Intersection: cross
Total reward: -9690.00
Epsilon: 0.96
Simulation duration: 56.0s
Avg queue length: 2.17
Cumulative wait time: 11707.00
Fault injected: ❌ No
Total Emergency Delay: 137903.00

Action Distribution:
Action 0: 269 times
Action 1: 272 times
Action 2: 273 times
Action 3: 284 times

Q-Value Log Per Step:
Step 0 | Action: 3 (exploration)
Step 4822 | Action: 3 (exploration)
Step 4838 | Action: 0 (exploration)
Step 4852 | Action: 0 (exploration)
Step 4862 | Action: 0 (exploration)
Step 4872 | Action: 1 (exploration)
Step 4886 | Action: 1 (exploration)
Step 4896 | Action: 2 (exploration)
Step 4910 | Action: 2 (exploration)
Step 4920 | Action: 2 (exploration)
Step 4930 | Action: 1 (exploration)
Step 4944 | Action: 3 (exploration)
Step 4958 | Action: 1 (exploration)
Step 4972 | Action: 0 (exploration)
Step 4986 | Action: 3 (exploration)
Step 5000 | Action: 1 (exploration)
Step 5014 | Action: 1 | Raw Q: [-0.09714680165052414, 0.14553453028202057, -0.044580183923244476, 0.0012562231859192252] | Boosted Q: [-0.09714680165052414, 0.14553453028202057, -0.044580183923244476, 0.0012562231859192252]
Step 5024 | Action: 2 (exploration)
Step 5038 | Action: 1 (exploration)
Step 5052 | Action: 3 (exploration)
Step 5066 | Action: 2 (exploration)
Step 5080 | Action: 2 (exploration)
Step 5090 | Action: 2 (exploration)
Step 5100 | Action: 0 (exploration)
Step 5114 | Action: 2 (exploration)
Step 5128 | Action: 1 (exploration)
Step 5142 | Action: 2 (exploration)
Step 5156 | Action: 3 (exploration)
Step 5170 | Action: 0 (exploration)
Step 5184 | Action: 2 (exploration)
Step 5198 | Action: 2 (exploration)
Step 5208 | Action: 3 (exploration)
Step 5222 | Action: 2 (exploration)
Step 5236 | Action: 2 (exploration)
Step 5246 | Action: 3 (exploration)
Step 5260 | Action: 2 (exploration)
Step 5274 | Action: 0 (exploration)
Step 5288 | Action: 1 (exploration)
Step 5302 | Action: 2 (exploration)
Step 5316 | Action: 2 (exploration)
Step 5326 | Action: 0 (exploration)
Step 5340 | Action: 2 (exploration)
Step 5354 | Action: 0 (exploration)
Step 5368 | Action: 1 (exploration)
Step 5382 | Action: 3 (exploration)
Step 5396 | Action: 0 (exploration)
Step 0 | Action: 2 (exploration)
Step 10 | Action: 3 (exploration)
Step 24 | Action: 2 | Raw Q: [-2.219243288040161, -2.439868211746216, 0.6229004859924316, -1.9766911268234253] | Boosted Q: [-2.219243288040161, -2.439868211746216, 0.6229004859924316, -1.9766911268234253]
Step 38 | Action: 3 (exploration)
Step 52 | Action: 2 (exploration)
Step 66 | Action: 0 (exploration)
Step 80 | Action: 1 (exploration)
Step 94 | Action: 0 (exploration)
Step 108 | Action: 3 (exploration)
Step 122 | Action: 1 (exploration)
Step 136 | Action: 2 | Raw Q: [-2.218437910079956, -2.290037155151367, 0.3258105516433716, -1.8682740926742554] | Boosted Q: [-2.218437910079956, -2.290037155151367, 0.3258105516433716, -1.8682740926742554]
Step 150 | Action: 3 (exploration)
Step 164 | Action: 1 (exploration)
Step 178 | Action: 3 (exploration)
Step 192 | Action: 2 (exploration)
Step 206 | Action: 1 (exploration)
Step 220 | Action: 2 (exploration)
Step 235 | Action: 3 (exploration)
Step 250 | Action: 2 (exploration)
Step 266 | Action: 3 (exploration)
Step 283 | Action: 3 (exploration)
Step 297 | Action: 2 (exploration)
Step 315 | Action: 0 (exploration)
Step 335 | Action: 1 (exploration)
Step 351 | Action: 0 | Raw Q: [13.60826301574707, 1.2034417390823364, 6.802952289581299, 0.245558500289917] | Boosted Q: [13.60826301574707, 1.2034417390823364, 6.902952194213867, 0.245558500289917]
Step 365 | Action: 1 (exploration)
Step 380 | Action: 1 (exploration)
Step 391 | Action: 3 (exploration)
Step 407 | Action: 1 (exploration)
Step 424 | Action: 3 (exploration)
Step 442 | Action: 3 (exploration)
Step 457 | Action: 0 (exploration)
Step 478 | Action: 2 (exploration)
Step 496 | Action: 3 (exploration)
Step 510 | Action: 0 (exploration)
Step 524 | Action: 2 (exploration)
Step 538 | Action: 3 (exploration)
Step 553 | Action: 2 (exploration)
Step 569 | Action: 3 (exploration)
Step 586 | Action: 1 (exploration)
Step 604 | Action: 0 (exploration)
Step 619 | Action: 1 (exploration)
Step 633 | Action: 1 (exploration)
Step 643 | Action: 2 | Raw Q: [-0.30101728439331055, -3.4263596534729004, 0.8166107535362244, -2.8467843532562256] | Boosted Q: [-0.1010172888636589, -3.4263596534729004, 1.0166107416152954, -2.8467843532562256]
Step 658 | Action: 1 (exploration)
Step 673 | Action: 3 (exploration)
Step 689 | Action: 1 (exploration)
Step 706 | Action: 0 (exploration)
Step 724 | Action: 2 (exploration)
Step 738 | Action: 2 | Raw Q: [-2.0971031188964844, -2.2553694248199463, 0.4435250759124756, -1.8169293403625488] | Boosted Q: [-2.0971031188964844, -2.2553694248199463, 0.4435250759124756, -1.8169293403625488]
Step 748 | Action: 1 (exploration)
Step 762 | Action: 1 (exploration)
Step 772 | Action: 3 (exploration)
Step 786 | Action: 3 (exploration)
Step 798 | Action: 1 (exploration)
Step 815 | Action: 2 (exploration)
Step 835 | Action: 0 | Raw Q: [136.65292358398438, 87.93347930908203, 127.87743377685547, 77.52827453613281] | Boosted Q: [137.0529327392578, 87.93347930908203, 127.87743377685547, 77.52827453613281]
Step 854 | Action: 2 (exploration)
Step 868 | Action: 1 (exploration)
Step 883 | Action: 3 (exploration)
Step 899 | Action: 0 (exploration)
Step 914 | Action: 1 (exploration)
Step 928 | Action: 1 (exploration)
Step 939 | Action: 3 (exploration)
Step 956 | Action: 2 (exploration)
Step 974 | Action: 2 (exploration)
Step 987 | Action: 3 (exploration)
Step 1005 | Action: 2 (exploration)
Step 1027 | Action: 3 (exploration)
Step 1050 | Action: 0 (exploration)
Step 1074 | Action: 2 (exploration)
Step 1088 | Action: 3 (exploration)
Step 1102 | Action: 1 (exploration)
Step 1116 | Action: 0 (exploration)
Step 1130 | Action: 1 (exploration)
Step 1144 | Action: 1 (exploration)
Step 1156 | Action: 3 (exploration)
Step 1174 | Action: 2 (exploration)
Step 1195 | Action: 2 (exploration)
Step 1206 | Action: 1 (exploration)
Step 1222 | Action: 3 (exploration)
Step 1239 | Action: 0 (exploration)
Step 1257 | Action: 0 (exploration)
Step 1267 | Action: 1 (exploration)
Step 1281 | Action: 0 (exploration)
Step 1296 | Action: 3 (exploration)
Step 1312 | Action: 0 (exploration)
Step 1329 | Action: 3 (exploration)
Step 1347 | Action: 0 (exploration)
Step 1366 | Action: 0 (exploration)
Step 1382 | Action: 3 (exploration)
Step 1404 | Action: 3 (exploration)
Step 1424 | Action: 1 (exploration)
Step 1448 | Action: 0 (exploration)
Step 1472 | Action: 0 (exploration)
Step 1492 | Action: 3 (exploration)
Step 1516 | Action: 3 (exploration)
Step 1536 | Action: 2 | Raw Q: [1601.676513671875, 1284.617431640625, 1833.4786376953125, 1147.90478515625] | Boosted Q: [1601.676513671875, 1284.7174072265625, 1834.778564453125, 1147.90478515625]
Step 1560 | Action: 0 (exploration)
Step 1577 | Action: 1 (exploration)
Step 1595 | Action: 0 (exploration)
Step 1609 | Action: 3 (exploration)
Step 1623 | Action: 0 (exploration)
Step 1638 | Action: 0 (exploration)
Step 1650 | Action: 0 (exploration)
Step 1662 | Action: 1 (exploration)
Step 1689 | Action: 3 (exploration)
Step 1711 | Action: 1 (exploration)
Step 1735 | Action: 1 (exploration)
Step 1755 | Action: 3 (exploration)
Step 1779 | Action: 3 (exploration)
Step 1799 | Action: 2 (exploration)
Step 1823 | Action: 3 (exploration)
Step 1847 | Action: 2 (exploration)
Step 1871 | Action: 2 (exploration)
Step 1891 | Action: 0 (exploration)
Step 1915 | Action: 3 (exploration)
Step 1939 | Action: 0 (exploration)
Step 1963 | Action: 2 (exploration)
Step 1987 | Action: 1 (exploration)
Step 2011 | Action: 0 (exploration)
Step 2037 | Action: 3 (exploration)
Step 2056 | Action: 2 (exploration)
Step 2079 | Action: 1 (exploration)
Step 2098 | Action: 2 (exploration)
Step 2120 | Action: 1 (exploration)
Step 2144 | Action: 2 (exploration)
Step 2168 | Action: 1 (exploration)
Step 2192 | Action: 2 | Raw Q: [635.5354614257812, 497.080810546875, 710.2382202148438, 443.4967956542969] | Boosted Q: [638.3353881835938, 497.080810546875, 710.2382202148438, 443.4967956542969]
Step 2216 | Action: 0 (exploration)
Step 2240 | Action: 3 (exploration)
Step 2254 | Action: 2 | Raw Q: [-2.383188009262085, -2.5897250175476074, 0.6799100041389465, -2.1303040981292725] | Boosted Q: [-2.383188009262085, -2.5897250175476074, 0.6799100041389465, -2.1303040981292725]
Step 2268 | Action: 2 (exploration)
Step 2278 | Action: 2 (exploration)
Step 2288 | Action: 1 (exploration)
Step 2302 | Action: 2 (exploration)
Step 2316 | Action: 1 (exploration)
Step 2330 | Action: 1 (exploration)
Step 2340 | Action: 3 (exploration)
Step 2355 | Action: 3 (exploration)
Step 2366 | Action: 2 (exploration)
Step 2382 | Action: 1 (exploration)
Step 2399 | Action: 2 (exploration)
Step 2417 | Action: 1 (exploration)
Step 2437 | Action: 1 (exploration)
Step 2455 | Action: 1 (exploration)
Step 2475 | Action: 1 (exploration)
Step 2495 | Action: 3 (exploration)
Step 2519 | Action: 1 (exploration)
Step 2543 | Action: 2 (exploration)
Step 2567 | Action: 0 (exploration)
Step 2591 | Action: 3 (exploration)
Step 2605 | Action: 3 (exploration)
Step 2615 | Action: 2 (exploration)
Step 2629 | Action: 0 (exploration)
Step 2643 | Action: 2 (exploration)
Step 2657 | Action: 1 (exploration)
Step 2671 | Action: 2 (exploration)
Step 2685 | Action: 0 (exploration)
Step 2699 | Action: 1 (exploration)
Step 2713 | Action: 0 (exploration)
Step 2727 | Action: 0 (exploration)
Step 2737 | Action: 2 (exploration)
Step 2751 | Action: 0 (exploration)
Step 2765 | Action: 3 (exploration)
Step 2779 | Action: 3 (exploration)
Step 2789 | Action: 3 (exploration)
Step 2799 | Action: 0 (exploration)
Step 2813 | Action: 1 (exploration)
Step 2827 | Action: 0 (exploration)
Step 2851 | Action: 2 (exploration)
Step 2868 | Action: 2 (exploration)
Step 2881 | Action: 2 (exploration)
Step 2894 | Action: 3 (exploration)
Step 2911 | Action: 3 (exploration)
Step 2924 | Action: 3 (exploration)
Step 2937 | Action: 3 (exploration)
Step 2951 | Action: 0 (exploration)
Step 2969 | Action: 3 (exploration)
Step 2988 | Action: 0 (exploration)
Step 3008 | Action: 3 (exploration)
Step 3030 | Action: 0 (exploration)
Step 3053 | Action: 0 (exploration)
Step 3073 | Action: 1 (exploration)
Step 3097 | Action: 0 (exploration)
Step 3121 | Action: 0 (exploration)
Step 3141 | Action: 0 (exploration)
Step 3161 | Action: 0 (exploration)
Step 3181 | Action: 1 (exploration)
Step 3205 | Action: 0 (exploration)
Step 3229 | Action: 2 (exploration)
Step 3253 | Action: 2 (exploration)
Step 3263 | Action: 1 (exploration)
Step 3277 | Action: 0 (exploration)
Step 3292 | Action: 1 (exploration)
Step 3306 | Action: 1 (exploration)
Step 3316 | Action: 3 (exploration)
Step 3330 | Action: 1 (exploration)
Step 3344 | Action: 2 (exploration)
Step 3358 | Action: 3 (exploration)
Step 3373 | Action: 2 (exploration)
Step 3388 | Action: 0 | Raw Q: [45.187255859375, 22.962404251098633, 35.830780029296875, 20.05711555480957] | Boosted Q: [45.287254333496094, 22.962404251098633, 35.830780029296875, 20.05711555480957]
Step 3403 | Action: 0 (exploration)
Step 3413 | Action: 1 (exploration)
Step 3427 | Action: 3 (exploration)
Step 3441 | Action: 0 (exploration)
Step 3455 | Action: 3 (exploration)
Step 3469 | Action: 2 (exploration)
Step 3483 | Action: 0 (exploration)
Step 3497 | Action: 3 (exploration)
Step 3511 | Action: 3 (exploration)
Step 3521 | Action: 3 (exploration)
Step 3531 | Action: 1 (exploration)
Step 3545 | Action: 1 (exploration)
Step 3555 | Action: 0 (exploration)
Step 3570 | Action: 1 (exploration)
Step 3585 | Action: 1 (exploration)
Step 3596 | Action: 3 (exploration)
Step 3612 | Action: 2 (exploration)
Step 3629 | Action: 1 (exploration)
Step 3643 | Action: 2 (exploration)
Step 3657 | Action: 3 (exploration)
Step 3671 | Action: 3 (exploration)
Step 3681 | Action: 3 (exploration)
Step 3691 | Action: 3 (exploration)
Step 3701 | Action: 2 (exploration)
Step 3715 | Action: 2 (exploration)
Step 3725 | Action: 1 (exploration)
Step 3739 | Action: 1 (exploration)
Step 3749 | Action: 2 (exploration)
Step 3763 | Action: 2 (exploration)
Step 3773 | Action: 0 (exploration)
Step 3787 | Action: 3 (exploration)
Step 3801 | Action: 3 (exploration)
Step 3811 | Action: 0 (exploration)
Step 3825 | Action: 0 (exploration)
Step 3835 | Action: 3 (exploration)
Step 3849 | Action: 1 (exploration)
Step 3863 | Action: 3 (exploration)
Step 3877 | Action: 2 | Raw Q: [-1.1685423851013184, -2.854665517807007, 0.6444482207298279, -2.302499294281006] | Boosted Q: [-1.1685423851013184, -2.854665517807007, 0.7444482445716858, -2.302499294281006]
Step 3891 | Action: 2 (exploration)
Step 3901 | Action: 1 (exploration)
Step 3915 | Action: 1 (exploration)
Step 3925 | Action: 2 (exploration)
Step 3939 | Action: 1 (exploration)
Step 3953 | Action: 1 (exploration)
Step 3963 | Action: 1 (exploration)
Step 3973 | Action: 0 (exploration)
Step 3987 | Action: 3 (exploration)
Step 4001 | Action: 2 (exploration)
Step 4015 | Action: 0 (exploration)
Step 4029 | Action: 0 (exploration)
Step 4039 | Action: 2 (exploration)
Step 4053 | Action: 1 (exploration)
Step 4067 | Action: 2 (exploration)
Step 4081 | Action: 0 (exploration)
Step 4095 | Action: 1 (exploration)
Step 4109 | Action: 0 (exploration)
Step 4123 | Action: 0 (exploration)
Step 4133 | Action: 2 | Raw Q: [-1.9025846719741821, -1.930496335029602, 0.06698629260063171, -1.5140149593353271] | Boosted Q: [-1.9025846719741821, -1.930496335029602, 0.06698629260063171, -1.5140149593353271]
Step 4147 | Action: 2 (exploration)
Step 4157 | Action: 3 (exploration)
Step 4171 | Action: 2 (exploration)
Step 4185 | Action: 1 (exploration)
Step 4199 | Action: 3 (exploration)
Step 4213 | Action: 3 (exploration)
Step 4223 | Action: 2 (exploration)
Step 4237 | Action: 0 (exploration)
Step 4251 | Action: 1 (exploration)
Step 4265 | Action: 0 (exploration)
Step 4279 | Action: 0 (exploration)
Step 4289 | Action: 0 (exploration)
Step 4299 | Action: 1 (exploration)
Step 4313 | Action: 3 (exploration)
Step 4327 | Action: 3 (exploration)
Step 4337 | Action: 3 (exploration)
Step 4347 | Action: 2 (exploration)
Step 4361 | Action: 3 (exploration)
Step 4375 | Action: 2 (exploration)
Step 4389 | Action: 2 (exploration)
Step 4399 | Action: 0 (exploration)
Step 4413 | Action: 1 (exploration)
Step 4427 | Action: 2 (exploration)
Step 4441 | Action: 2 (exploration)
Step 4451 | Action: 3 (exploration)
Step 4465 | Action: 0 (exploration)
Step 4479 | Action: 2 (exploration)
Step 4493 | Action: 0 (exploration)
Step 4507 | Action: 3 (exploration)
Step 4521 | Action: 3 (exploration)
Step 4531 | Action: 3 (exploration)
Step 4541 | Action: 2 (exploration)
Step 4555 | Action: 2 (exploration)
Step 4565 | Action: 1 (exploration)
Step 4579 | Action: 3 (exploration)
Step 4593 | Action: 1 (exploration)
Step 4607 | Action: 2 (exploration)
Step 4621 | Action: 0 (exploration)
Step 4635 | Action: 0 (exploration)
Step 4645 | Action: 2 (exploration)
Step 4659 | Action: 3 (exploration)
Step 4673 | Action: 1 (exploration)
Step 4687 | Action: 1 (exploration)
Step 4697 | Action: 3 (exploration)
Step 4711 | Action: 0 (exploration)
Step 4725 | Action: 2 | Raw Q: [-1.9556350708007812, -1.9790468215942383, 0.08569587767124176, -1.563894271850586] | Boosted Q: [-1.9556350708007812, -1.9790468215942383, 0.08569587767124176, -1.563894271850586]
Step 4739 | Action: 1 (exploration)
Step 4753 | Action: 2 (exploration)
Step 4767 | Action: 1 (exploration)
Step 4781 | Action: 2 (exploration)
Step 4796 | Action: 2 (exploration)
Step 4807 | Action: 3 (exploration)
Step 4823 | Action: 3 (exploration)
Step 4833 | Action: 2 (exploration)
Step 4847 | Action: 0 (exploration)
Step 4861 | Action: 2 (exploration)
Step 4875 | Action: 2 (exploration)
Step 4885 | Action: 3 (exploration)
Step 4899 | Action: 0 (exploration)
Step 4913 | Action: 0 (exploration)
Step 4923 | Action: 1 (exploration)
Step 4937 | Action: 2 | Raw Q: [-2.166038990020752, -2.2418267726898193, 0.306779682636261, -1.8187822103500366] | Boosted Q: [-2.166038990020752, -2.2418267726898193, 0.306779682636261, -1.8187822103500366]
Step 4951 | Action: 3 (exploration)
Step 4965 | Action: 2 (exploration)
Step 4979 | Action: 0 (exploration)
Step 4993 | Action: 2 (exploration)
Step 5007 | Action: 2 | Raw Q: [-1.9424527883529663, -2.11310076713562, 0.3865838646888733, -1.6701494455337524] | Boosted Q: [-1.9424527883529663, -2.11310076713562, 0.3865838646888733, -1.6701494455337524]
Step 5017 | Action: 1 (exploration)
Step 5031 | Action: 2 (exploration)
Step 5045 | Action: 3 (exploration)
Step 5059 | Action: 1 (exploration)
Step 5073 | Action: 0 (exploration)
Step 5087 | Action: 2 (exploration)
Step 5101 | Action: 3 (exploration)
Step 5115 | Action: 3 (exploration)
Step 5125 | Action: 3 (exploration)
Step 5135 | Action: 3 (exploration)
Step 5145 | Action: 2 (exploration)
Step 5159 | Action: 1 (exploration)
Step 5173 | Action: 1 (exploration)
Step 5183 | Action: 2 (exploration)
Step 5197 | Action: 0 (exploration)
Step 5211 | Action: 3 (exploration)
Step 5225 | Action: 2 (exploration)
Step 5239 | Action: 0 (exploration)
Step 5253 | Action: 0 (exploration)
Step 5263 | Action: 2 (exploration)
Step 5277 | Action: 2 | Raw Q: [-1.9424527883529663, -2.11310076713562, 0.3865838646888733, -1.6701494455337524] | Boosted Q: [-1.9424527883529663, -2.11310076713562, 0.3865838646888733, -1.6701494455337524]
Step 5287 | Action: 2 (exploration)
Step 5297 | Action: 0 (exploration)
Step 5311 | Action: 0 (exploration)
Step 5321 | Action: 3 (exploration)
Step 5335 | Action: 2 (exploration)
Step 5349 | Action: 2 (exploration)
Step 5359 | Action: 2 (exploration)
Step 5369 | Action: 2 | Raw Q: [-1.9424527883529663, -2.11310076713562, 0.3865838646888733, -1.6701494455337524] | Boosted Q: [-1.9424527883529663, -2.11310076713562, 0.3865838646888733, -1.6701494455337524]
Step 5379 | Action: 0 (exploration)
Step 5393 | Action: 0 (exploration)

Queue Interrupt Log:
